x_tsne,y_tsne
23.967234,22.95403
-0.2592939,21.468708
-17.88666,13.100057
6.5785146,-18.063044
9.134752,-7.644899
-27.902292,-17.233255
17.415836,-29.307077
-18.999687,0.154475
-20.012794,17.341019
11.631008,4.6629066
7.102032,-4.8345304
2.1684916,-2.5125306
8.384431,-22.294802
12.911396,1.1926255
-25.655169,17.974894
-6.566864,32.1486
14.330369,-2.109895
10.261512,-18.32794
-18.91113,-24.559267
10.634276,3.4679894
-6.6161523,-23.556568
4.1502957,-30.65987
10.703495,12.053105
30.875074,-1.553864
25.905401,-3.3726575
-5.377966,-7.303346
-3.0861173,-25.559052
32.875523,4.901974
28.885061,1.4633044
-0.117410585,-0.5896036
-4.315482,15.606156
21.239414,4.2926016
-9.517702,-24.655434
6.7731156,-31.736914
30.96357,8.530518
-3.731389,-28.11779
13.027212,-24.733732
10.321937,5.2615986
-31.665203,4.903819
-17.260754,9.565201
27.615139,-7.7845864
3.6700094,23.389286
-22.318148,-16.307222
-27.422325,13.335097
24.339697,2.1785352
-1.8486276,-15.046026
26.778675,10.850927
25.261116,14.826739
-9.579288,14.865468
-16.330288,5.4563293
17.294123,-10.047421
-3.3515387,-30.617382
16.89685,1.7478796
21.276249,-1.3403937
18.283798,-26.87381
-2.393565,3.7812495
19.746733,-9.864964
-23.827639,16.86842
-7.780529,0.16721344
-0.3947205,-6.17013
-5.909916,-6.660986
-18.616804,-22.47481
16.978855,0.9134098
-1.457463,-2.8589513
15.076619,-28.409803
-10.69417,-7.6881394
-17.905573,-6.424467
6.568037,3.2068408
-30.557022,-0.4940283
-12.271842,-26.217365
-2.6275373,-2.6776063
2.9594269,13.971231
-2.2963567,5.980805
-29.08553,0.59998035
28.127937,-0.99810785
27.95097,7.024641
-10.015885,-8.451667
13.712129,-32.133686
-11.969366,19.23837
20.259932,-1.902534
10.79798,-5.0654716
15.528974,21.596968
-14.431498,21.9669
3.8873138,21.470583
-9.141228,0.17104383
-9.492326,-8.120945
-5.097421,10.038043
6.0280275,29.958435
7.0002027,-27.260399
-5.4354677,2.0264251
23.774817,-3.609212
8.72621,-0.5154708
31.984102,7.3882623
-14.740707,4.797565
9.211701,-10.657122
28.94132,17.215363
-29.576757,1.4851717
0.07545161,18.750483
15.090328,29.637321
24.178244,-16.211126
6.270699,-22.870192
-5.124835,5.5140057
10.191887,-18.218948
7.4816585,-20.436255
15.862632,3.3517551
-1.2484385,-30.11515
14.38705,12.807596
19.281206,-7.070505
26.257154,-10.199317
4.794797,-0.108446755
21.923811,7.9635344
6.5062513,-24.90468
