,x_tsne,y_tsne
94,-7.458095,2.3773181
95,8.889975,-28.04446
96,13.547041,-21.262985
97,5.6311083,0.7178357
98,-7.2814293,-20.067871
99,-2.6123173,4.6985908
100,20.54271,-22.814196
101,3.8358371,-3.9740741
102,22.777521,-8.269147
103,-6.0125875,-14.731204
104,-30.058506,-3.6227229
105,-17.755512,12.18792
106,24.680138,11.764685
107,20.567667,-26.007164
108,17.779129,22.802824
109,23.86477,-15.970458
110,-22.349792,-14.773884
111,-5.8204265,-31.726616
112,17.725567,-8.297865
113,0.10234755,23.56976
114,11.30101,17.514105
115,9.09964,-4.955041
116,-16.578545,-16.701248
117,-5.2260284,-25.697187
118,16.511276,-11.537676
119,21.688826,-13.277065
120,1.5010365,-15.25069
121,-23.069038,-5.975403
122,-21.497648,8.548652
123,19.196016,-22.638254
124,-26.792355,13.521904
125,27.106556,18.316904
126,-2.5996943,8.89253
127,1.3688805,8.388731
128,-28.966824,-5.31855
129,6.5908923,-17.253292
130,20.359818,26.807114
131,-2.231075,9.105556
132,-10.226643,19.267832
133,-27.46903,-16.180548
134,7.481014,22.733585
135,0.5805888,-11.32851
136,32.029617,6.620973
137,8.71079,21.462755
138,27.27588,7.3354917
139,14.344948,10.544323
140,0.65020937,-2.975061
141,-0.78859925,32.29991
142,-22.747833,14.4839945
143,-26.259716,-15.19902
144,-7.2706156,-14.75179
145,29.790766,6.3247414
146,-7.610573,-2.1556811
147,-17.361174,-0.4823293
148,-10.969729,26.468874
149,-24.732378,-11.700053
150,-10.0572195,-16.470785
151,-2.258509,21.88046
152,-18.960728,-22.88709
153,-26.79912,-1.5630074
154,5.3027635,26.729914
155,-23.292612,8.050843
156,-8.558344,-6.1085
157,10.267609,18.231709
158,10.563781,-2.2840545
159,12.772857,-19.886284
160,-5.745691,-12.418173
161,18.09929,-22.66348
162,1.375479,-19.74539
163,1.573807,-22.193363
164,11.448638,-14.586177
165,33.17453,1.2647375
166,16.354378,25.504803
167,25.906443,10.805413
168,8.464725,-6.990494
169,-22.331879,11.932555
170,0.66657305,16.608267
171,-20.29579,18.212454
172,16.93006,12.519217
173,-8.549321,-20.324375
174,-22.222923,-0.8667145
175,-29.246878,-12.33662
176,-3.5754511,19.359945
177,-30.434,0.3581823
178,14.298949,10.284385
179,-12.368909,-8.316345
180,11.199033,-26.520332
181,12.535079,-2.19263
182,13.235468,27.563889
183,33.51594,-1.1650168
184,-14.02597,23.868963
185,31.067196,0.8726528
186,15.970151,9.066596
187,-0.17613974,30.795612
188,27.224466,-10.861228
189,-9.281363,-8.294114
190,-24.050657,-12.891394
191,-27.732954,-10.194052
192,-29.086592,12.722335
193,-6.847422,-14.680945
194,0.167391,33.480846
195,-11.66103,-20.192434
196,-4.9960647,11.253254
197,-30.743895,0.8457241
198,-8.902003,-13.420802
199,13.42643,-14.960294
200,-5.6452503,-8.990527
201,27.926407,2.4163668
202,6.067429,6.0654926
203,-27.282715,14.090442
204,29.328499,4.5488353
205,12.831618,11.802234
206,12.225172,-26.953669
207,-10.877256,28.546295
208,21.94079,-6.8734727
209,22.561611,-11.317278
210,8.018862,4.755635
211,-8.92953,31.713161
212,-6.268971,12.987048
213,12.751554,-20.355612
214,-5.589106,21.413708
215,-28.239162,-4.2900114
216,8.187227,1.6960629
217,-24.934423,14.712959
218,1.7018756,-19.537262
219,-7.794,-9.249107
220,18.875895,5.4273467
221,6.5498695,-14.5873995
222,14.559974,16.661242
223,4.0638566,7.513908
224,32.363735,-1.4172909
225,23.59001,2.769138
226,16.159204,-15.516128
227,6.5035486,9.2928915
228,3.8637207,-20.292685
229,18.65509,26.230318
230,7.9136424,-8.629691
231,-24.68875,-0.77080107
232,12.56199,24.394596
233,14.114638,-9.328949
234,25.419184,-4.513452
235,8.336946,6.019753
236,0.42779693,-16.72054
237,7.9441185,18.285284
238,-8.530658,31.643898
239,-3.4786038,6.911839
240,-19.68504,-25.022821
241,7.9127345,-12.140203
242,3.9887486,25.512245
243,-7.5686455,32.32281
244,7.7401843,7.989836
245,-14.391417,13.742018
246,-1.4436406,0.643717
247,-12.442049,29.712986
248,2.599403,9.549003
